0	7.29	3.00
1	17.47	13.06
2	41.25	3.47
3	45.33	1.40
4	58.25	2.12
5	80.53	13.59
6	96.32	6.40
7	14.18	15.97
8	24.17	21.87
9	42.80	27.69
10	51.66	22.61
11	68.70	14.37
12	82.21	15.53
13	89.13	20.29
14	4.79	42.00
15	25.28	30.16
16	40.67	31.01
17	47.56	39.01
18	70.28	39.76
19	85.31	40.46
20	95.03	35.48
21	11.76	50.37
22	24.36	55.58
23	38.81	47.64
24	48.79	48.56
25	69.95	53.16
26	77.51	43.07
27	86.61	52.20
28	1.48	61.92
29	26.02	65.75
30	29.49	62.10
31	46.84	65.30
32	67.18	69.69
33	73.24	59.00
34	93.03	61.48
35	1.16	84.42
36	18.91	80.59
37	41.81	81.49
38	47.87	74.77
39	67.85	73.59
40	71.98	71.79
41	88.13	84.56
42	4.23	98.09
43	21.35	93.06
44	37.64	90.99
45	53.98	86.54
46	58.68	94.09
47	81.24	98.31
48	95.72	88.38
