1708,24.00,23.75,24.00,24.25,24.25,321,399,341
926,24.00,23.75,24.25,24.25,24.25,320,400,343
926,24.00,23.75,24.25,24.25,24.25,322,400,343
926,24.00,23.75,24.00,24.25,24.00,322,400,344
2250,24.00,23.75,24.25,24.25,24.25,317,394,316
63323,23.75,23.50,24.00,24.25,24.00,318,396,320
124391,23.75,23.75,24.00,24.25,24.00,312,393,312
185454,23.50,23.50,23.75,24.00,23.75,317,396,316
246518,23.50,23.25,23.50,23.75,23.50,317,394,316
307582,23.25,23.25,23.50,23.50,23.50,315,394,314
368646,23.25,23.25,23.25,23.50,23.25,314,394,313
429715,23.00,23.00,23.25,23.50,23.25,315,395,314
490778,23.00,23.00,23.25,23.25,23.25,315,391,314
551842,23.00,23.00,23.00,23.25,23.00,664,665,665
612907,23.00,23.00,23.00,23.25,23.00,667,666,667
673971,23.00,22.75,23.00,23.00,23.00,666,666,667
735034,22.75,22.75,23.00,23.00,23.00,667,666,667
796098,22.75,22.75,23.00,23.00,22.75,666,667,666
857162,22.75,22.75,22.75,23.00,22.75,666,667,667
918226,22.75,22.75,22.75,23.00,22.75,666,667,666
979290,22.75,22.75,22.75,23.00,22.75,667,667,665
1040354,22.75,22.75,22.75,23.00,22.75,667,667,667
1101422,22.75,22.75,22.75,23.00,22.75,668,666,667
1162505,22.50,22.50,22.75,23.00,22.75,667,666,667
1223569,22.50,22.50,22.75,22.75,22.50,667,667,667
1284632,22.50,22.75,22.75,22.75,22.50,667,666,667
1345696,22.50,22.50,22.75,22.75,22.50,667,666,667
1406760,22.50,22.50,22.75,22.75,22.50,667,666,667
1467825,22.50,22.50,22.75,22.75,22.50,666,667,667
1528889,22.50,22.50,22.75,22.75,22.50,668,666,668
1589952,22.50,22.50,22.50,22.75,22.50,666,667,666
1651016,22.50,22.50,22.50,22.75,22.50,668,666,668
1712215,22.50,22.50,22.50,22.75,22.50,667,667,667
1773545,22.50,22.50,22.50,22.75,22.50,667,667,667
1834609,22.50,22.50,22.50,22.75,22.50,668,666,667
1895672,22.50,22.50,22.50,22.75,22.50,668,666,667
1956737,22.50,22.50,22.50,22.75,22.50,666,667,666
2017801,22.50,22.50,22.50,22.75,22.50,668,666,667
2078865,22.50,22.50,22.50,22.75,22.50,666,667,666
2139928,22.50,22.50,22.50,22.75,22.50,668,666,668
2200992,22.50,22.50,22.50,22.75,22.50,668,666,667
2262055,22.50,22.50,22.50,22.75,22.50,667,667,668
2323125,22.50,22.50,22.50,22.75,22.50,666,667,668
2384189,22.50,22.50,22.50,22.50,22.50,668,666,668
2445252,22.50,22.50,22.50,22.50,22.50,668,666,667
2506316,22.25,22.50,22.50,22.50,22.50,666,667,668
2567379,22.50,22.50,22.50,22.50,22.50,665,667,666
2628444,22.25,22.50,22.50,22.50,22.50,666,668,667
2689508,22.25,22.50,22.50,22.50,22.50,668,668,666
2750571,22.25,22.25,22.50,22.50,22.50,667,667,667
2811635,22.25,22.25,22.50,22.50,22.50,667,666,667
2872699,22.25,22.50,22.50,22.50,22.50,666,668,668
2933768,22.25,22.25,22.50,22.50,22.25,666,667,667
2994832,22.25,22.25,22.50,22.50,22.25,668,667,666
3055895,22.25,22.25,22.50,22.50,22.25,665,667,668
3116959,22.25,22.25,22.50,22.50,22.25,668,667,666
3178023,22.25,22.25,22.50,22.50,22.25,667,667,668
3239087,22.25,22.25,22.50,22.50,22.25,667,667,668
3300151,22.25,22.25,22.50,22.50,22.25,666,667,668
3361215,22.25,22.25,22.25,22.50,22.25,666,668,668
3422279,22.25,22.25,22.25,22.50,22.25,668,666,667
3483342,22.25,22.25,22.25,22.50,22.25,668,668,668
3544407,22.25,22.25,22.25,22.50,22.25,666,668,668
3605483,22.25,22.25,22.25,22.50,22.25,668,666,668
3666547,22.25,22.25,22.25,22.50,22.25,666,668,668
3727610,22.25,22.25,22.25,22.50,22.25,666,667,668
3788675,22.25,22.25,22.25,22.50,22.25,667,667,668
3849739,22.25,22.25,22.25,22.50,22.25,667,667,668
3910803,22.25,22.25,22.25,22.50,22.25,667,668,667
3971866,22.25,22.25,22.25,22.50,22.25,668,666,667
4032930,22.25,22.25,22.25,22.50,22.25,668,667,667
4093995,22.25,22.25,22.25,22.50,22.25,667,668,668
4155059,22.25,22.25,22.25,22.50,22.25,666,668,666
4216127,22.25,22.25,22.25,22.50,22.25,667,667,668
4277191,22.25,22.25,22.25,22.50,22.25,668,668,666
4338254,22.25,22.25,22.25,22.50,22.25,668,668,666
4399319,22.25,22.25,22.25,22.50,22.25,666,668,666
4460383,22.25,22.25,22.25,22.50,22.25,668,666,668
4521447,22.25,22.25,22.25,22.50,22.25,667,666,668
4582511,22.25,22.25,22.25,22.50,22.25,667,668,668
4643574,22.25,22.25,22.25,22.25,22.25,668,668,666
4704638,22.25,22.25,22.25,22.50,22.25,666,668,666
4765720,22.25,22.25,22.25,22.50,22.25,668,666,668
4826950,22.25,22.25,22.25,22.25,22.25,669,669,669
4888286,22.25,22.25,22.25,22.25,22.25,669,669,669
4949352,22.25,22.25,22.25,22.25,22.25,667,668,668
5010417,22.25,22.25,22.25,22.25,22.25,660,665,663
